Brand,Description,Price
Panasonic,"Eluga A2 (3 GB RAM, 16 GB ROM 8 MP, 5 MP Camera)- Gold",11000.0
Leagoo,P1 - Champange Gold Smartphone,7200.0
Leagoo,"Z5 Smart Mobile Phone (8 GB ROM, 1 GB RAM) - Gold",5960.0
OBI,"SF1 Smartphone (32GBROM, 3GB RAM, 13 MP,5 MP)",13000.0
Nokia,Microsoft Lumia 435 Double Sim (Orange),4400.0
Microsoft,"Lumia 535 D (1GB RAM, 8GB ROM)- Grey",6500.0
Microsoft,Lumia 540 Black (1GB/8GB),7800.0
M-Tech,"Turbo 10 Smart Mobile Phone (1GB RAM, 8GB ROM)-Black",6270.0
Nokia,"X2 Smart Phone (4 GB ROM, 1 GB RAM, Dual Sim)- White",6750.0
Samsung,"Galaxy Note8 Smart Mobile Phone [6 GB RAM, 64 GB ROM - Black]",100350.0
Xiaomi,"Mi A1 Smart Mobile Phone [4GB RAM, 64GB ROM - Gold]",29999.0
Micromax,"HS2 CANVAS INFINITY (32 GB - Black, 18:9 Full Vision Display)",17575.0
Apple,iPhone SE 16GB - Gold,35000.0
Apple,iPhone 5S 16GB - Space Grey,29999.0
Leagoo,"M5 Smart Mobile Phone (16GB ROM, 2 GB RAM) - Grey",9195.0
UMIDIGI,"Crystal 4G Smart Mobile Phone (4GB RAM, 64GB ROM - Black)",22580.0
Nokia,Microsoft Lumia 532 Double Sim (Black),5200.0
Samsung,"(A510H) Galaxy A5 2016 Android Smart Mobile [16 GB ROM, 2 GB RAM]- Black",24170.7
Xiaomi,"Redmi Note 5A Smart Moblile Phone ( 2 GB RAM, 16 GB ROM) - Gold",16800.0
Samsung,"Samsung Galaxy On7 Pro (G600F) (16GB, Gold) [smartphone / smart phone / mobile / mobiles ]",14405.0
Nokia,Microsoft Lumia 435 Double Sim (Black),4400.0
Leagoo,"P1 Smart Mobile Phone (8 GB ROM, 1 GB RAM) - Champagne Gold",7800.0
Samsung,"J2 ACE Smartphone (2GB RAM, 8GB ROM, 8MP Camera)- Gold ",12500.0
Archos,"Diamond S Smartphone 5.1 Android (1GB RAM, 8GB ROM)- Black",5650.0
Samsung,"(J106H) J1 Nxt Prime Android Smart Mobile Phone [8 GB ROM, 1 GB RAM]- Black",7802.7
M-Tech,"Ace 11 Smart Mobile Phone (512Mb RAM, 4GB ROM)-Black",4163.0
Nokia,"Nokia 6 Android SmartPhone [3 GB RAM, 32 GB ROM] - Black",25600.0
Samsung,"Galaxy Note8 Smart Mobile Phone [6 GB RAM, 64 GB ROM] - Maple Gold",100350.0
Apple,"iPhone 7 (2GB RAM, 128GB ROM) - Red",90000.0
Samsung,"J7 Pro Android Smart Mobile Phone [3GB RAM, 64GB - Black]",30600.0
Apple,"iPhone 6 (128 GB,1 GB RAM)- Space Grey",55000.0
Nokia,"X2 Black Smart Phone(4 GB ROM, 1 GB RAM, Dual Sim)",6750.0
Microsoft,Lumia 535 Black (1GB/8GB),6500.0
Leagoo,"M5 plus Smart Mobile Phone (16GB ROM, 2 GB RAM) - Grey",15769.05
Motorola,Moto C Plus,13150.0
Leagoo,"M8 Smart Mobile Phone (16GB ROM, 2 GB RAM) - Grey",12855.0
Leagoo,"M8 Smart Mobile Phone (16GB ROM, 2 GB RAM) - Gold",12855.0
Samsung,"J7 Max Android Smart Mobile Phone [4 GB RAM, 32 GB ROM - Gold]",26310.0
Apple,iPhone SE 16GB - Silver,35000.0
Apple,iPhone SE 16GB - Rose Gold,35000.0
Leagoo,"Z5 Smart Mobile Phone (8 GB ROM, 1 GB RAM) - White",5960.0
Apple,"iPhone 7 (256 GB ROM, 2 GB RAM) - Jet Black",90000.0
Leagoo,"T1 Smart Mobile Phone (16 GB ROM, 2 GB RAM) - Gold",15695.0
Samsung,"A5 2016 (A510H) Smart Mobile Phone [2GB RAM, 16GB]",24175.0
OnePlus,"5 Smart Mobile Phone [8GB RAM, 128GB - Slate Grey] Smartphone, Mobile Phone, OnePlus5",69500.0
Leagoo,"M5 Smart Mobile Phone (16GB ROM, 2 GB RAM) - Gold",9195.0
Leagoo,"M5 Smart Mobile Phone (16GB ROM, 2 GB RAM) - White",9195.0
Oppo,"A71 Android Smart Mobile Phone (3GB RAM, 16GB, Gold) ",20890.0
Motorola,"Moto E4 Plus Smart Mobile Phone [3GB RAM, 32GB ROM - Iron Grey]",19940.0
Sony,"Xperia X Android Smart Mobile Phone [64 GB ROM, 3 GB RAM - Black]",38500.0
Nokia,"Microsoft Lumia 435 Double Sim (8 GB, White)",4400.0
Leagoo,"Z1 Smart Mobile Phone (4 GB ROM, 512 GB RAM) - Grey",4710.0
Leagoo,"Z1 Smart Mobile Phone (4 GB ROM, 512 GB RAM) - White",4710.0
Leagoo,"Z1 Smart Mobile Phone (4 GB ROM, 512 GB RAM) - Gold",4710.0
Leagoo,"Z5 LTE Smart Mobile Phone (8 GB ROM, 1 GB RAM) - Gold",9230.0
Leagoo,"Z5 LTE Smart Mobile Phone (8 GB ROM, 1 GB RAM) - Grey",9230.0
Leagoo,"Z5 LTE Smart Mobile Phone (8 GB ROM, 1 GB RAM) - White",9230.0
Leagoo,"T1 Plus Smart Mobile Phone (16 GB ROM, 3 GB RAM) - Grey",18080.0
Leagoo,"T1 Plus Smart Mobile Phone (16 GB ROM, 3 GB RAM) - Gold",18080.0
Leagoo,"Z3 Smart Mobile Phone (8 GB ROM, 1 GB RAM) - Gold",4910.0
Samsung,Samsung Galaxy S8+ Android Smart Mobile Phone  -Black,84675.0
Xiaomi,"Xiaomi Redmi Note 4 Smart Mobile Phone [4GB RAM, 64GB ROM - Black]",27360.0
Apple,"iPhone 7 (32 GB ROM, 2 GB RAM)- Rose Gold",70000.0
Sony,"Xperia L1 Smart Mobile Phone [2 GB RAM, 16 GB ROM -Pink]",20000.0
Huawei,"Huawei P10 Plus (64GB, Dazzling Gold) Android Smart Mobile Phone",76630.0
Apple,"iPhone 6s (32GB, 2 GB RAM)- Space Grey",60000.0
Samsung,"(J500H) Galaxy J5 Android Smart Phone [8 GB ROM, 1.5 GB RAM]- Black",16647.0
Samsung,"Galaxy C9 Pro Smart Mobile Phone [6GB RAM, 64GB ROM - Black] ",46490.0
Panasonic,Eluga Arc 2 Android Smart Mobile Phone,14500.0
ZTE,"Blade L5 (1 GB, 8 GB) Smart Phone- Black",8235.0
Samsung,Samsung Galaxy J5 prime new,20330.0
Nokia,Nokia 5 (Black),21350.0
Samsung,Samsung Galaxy J7 PRO,30600.0
Samsung,"Galaxy A7(2017) Smart Mobile Phone [3GB RAM, 32GB ROM]",39520.0
Samsung,"Galaxy A7 (2016) Smart Mobile Phone [3GB RAM, 16GB ROM -Black]",31610.0
Motorola,"Moto E4 Smart Mobile Phone [2GB RAM, 16GB ROM - Iron Grey]",15475.0
HTC,"U11Smart Mobile Phone [6GB RAM, 128GB ROM - Black]",72000.0
Nokia,Microsoft Lumia 435 Double Sim (Green),4400.0
Nokia,Nokia 309 White Mobile Phone,4525.0
Xiaomi,"Xiaomi Redmi 3S Prime (32 GB, Gold) Android Mobile Phone",19680.0
Nokia,"Microsoft Lumia 532 Double Sim (8 GB, Green)",5200.0
Samsung,"J7 Pro Android Smart Mobile Phone [3GB RAM, 64GB - Gold]",32900.0
Nokia,Nokia 3-Black,15650.0
Samsung,Samsung Galaxy S8+ Android Smart Mobile Phone-Gold,84675.0
Oppo,"F3 (64GB, Gold) Android Smart Mobile Phone",31500.0
Nokia,Nokia 5 ,21350.0
Micromax,Micromax Canvas Spark 2 Pro (Q351) 8GB/1GB [ Smartphone / Smartphones ],7002.0
Micromax,"Canvas 1 (C1) [2 GB RAM, 16 GB ROM - Black]",11860.75
Micromax,Micromax Q300 (Bolt Series),3971.0
Zopo,Color F1 Mobile Phone (RAM 1GB Internal storage 16GB) -Gold ,12100.0
Zopo,"Color F5 (Black, 2GB RAM + 16GB ROM) 4G",14990.0
Zopo,"Color F5 (Gold, 2GB RAM + 16GB ROM) 4G",14990.0
Nokia,Nokia 500 Red Mobile Phone,3500.0
Oppo,"F3 (64 GB, Black) Android Smart Mobile Phone",32990.0
Panasonic,Eluga I2 Android Smart Mobile Phone,10500.0
OnePlus,3T (64GB) Gun Metal - [ smartphone / smart phone / mobile / mobiles ],49000.0
Micromax,"E485 (CANVAS 6) [3 GB RAM, 32 GB ROM ] - Gold",22467.0
Micromax,"E451 (CANVAS PULSE) [3 GB RAM, 16 GB ROM]- Black",15884.0
Micromax,"Q386 (CANVAS FIRE 5) [1 GB RAM, 16 GB ROM]- Rose Gold ",10972.0
Micromax,"E453 (CANVAS ULTRA M1) [3 GB RAM, 32 GB ROM ] - Gold",19855.0
Samsung,Samsung J7 Prime 3GB/32GB (Black) - [ G610F / smartphone / smart phone / mobile / mobiles ],23710.0
Micromax,"Q349 Canvas Selfie 4 [1 GB RAM, 8 GB ROM] - Gold",10554.0
Micromax,"Q402 Bolt (BHARAT 2) with 4G Volte  (512 MB RAM, 4GB ROM) - Gold",5852.0
Samsung,"Samsung Galaxy S8 (64GB, Gold)",76900.0
Nokia,Nokia 308 Black Mobile Phone,4400.0
ZTE,ZTE Blade A2 Plus- Rose Gold,23183.0
Samsung,Samsung Galaxy J2 Ace Android Smart Mobile Phone-Gold,12080.0
Apple,test BOB 1,900.0
Sony,"Xperia XZs Android Smart Mobile Phone [4 GB RAM, 64 GB ROM - Black]",69000.0
Sony,"Xperia XZs Android Smart Mobile Phone [4 GB RAM, 64 GB ROM - Silver]",69000.0
Sony,"Xperia XZs Android Smart Mobile Phone [4 GB RAM, 64 GB ROM - Ice Blue]",69000.0
Sony,"Xperia XZ Android Smart Mobile Phone [64 GB ROM, 3 GB RAM - Forest Blue]",59500.0
Sony,"Xperia XA Android Smart Mobile Phone[2 GB RAM, 16 GB ROM -Lime Gold]",19000.0
Sony,"Xperia XA Android Smart Mobile Phone [2 GB RAM, 16 GB ROM - Graphite Black]",19000.0
Sony,"Xperia XA Ultra Android Smart Mobile Phone [16 GB ROM, 3 GB RAM - White]",28000.0
Sony,"Xperia XA1 Smart Mobile Phone [3 GB RAM, 32 GB ROM - Gold]",28000.0
Sony,"Xperia L1 Smart Mobile Phone [2 GB RAM, 16 GB ROM - Black]",20000.0
Sony,"Xperia L1 Smart Mobile Phone [2 GB RAM, 16 GB ROM -White]",20000.0
Sony,"Xperia XA1 Smart Mobile Phone [3 GB RAM, 32 GB ROM- Black]",28000.0
Sony,"Xperia X Android Smart Mobile Phone [64 GB ROM, 3 GB RAM - Lime]",38500.0
Sony,"Xperia X Android Smart Mobile Phone [64 GB ROM, 3 GB RAM -White]",38500.0
Sony,"Xperia X Android Smart Mobile Phone[64 GB ROM, 3 GB RAM - Rose Gold]",38500.0
Sony,"Xperia XZ Android Smart Mobile Phone [64 GB ROM, 3 GB RAM -Mineral Black]",59500.0
Sony,"Xperia XZ Premium Smart Mobile Phone [4 GB RAM, 64 GB ROM - Pink]",80500.0
Sony,"Xperia XZ Premium Smart Mobile Phone [4 GB RAM, 64 GB ROM - Black]",80500.0
Sony,"Xperia XA1 Ultra Smart Mobile Phone [4 GB RAM, 64 GB ROM - Black]",40500.0
Leagoo,"Z3 Smart Phone (1GB RAM, 8GB ROM)- Rose Gold",5900.0
Micromax,"Q4310 (CANVAS 2)  [3 GB RAM, 16 GB ROM -Black]",14155.0
Intex,"Aqua Star II(16 GB, 2 GB RAM,Gold)",7500.0
Sony,"Xperia XZ Android Smart Mobile Phone[64 GB ROM, 3 GB RAM - Platinum]",59500.0
Micromax,"Q4310 (CANVAS 2)  [3 GB RAM, 16 GB ROM -Champagne]",14155.0
Nokia,Nokia X2 Green,6750.0
UMIDIGI,"London 3G Smart HD Mobile Phone (1GB Ram, 8GB ROM - White)",9310.0
UMIDIGI,"London 3G Smart HD Mobile Phone (1GB Ram, 8GB ROM - Gold)",9310.0
UMIDIGI,"London 3G Smart HD Mobile Phone (1GB Ram, 8GB ROM - Black)",9310.0
UMIDIGI,"C Note 4G Smart Mobile Phone (3GB RAM, 32GB ROM - Gold)",18220.0
UMIDIGI,Z1 Pro - 6GB - The World's Thinnest Big Battery Flagship Phone - Red,43605.0
UMIDIGI,"C Note 4G Smart Mobile Phone (3GB RAM, 32GB ROM - Black)",18220.0
Sony,"Xperia XA Android Smart Mobile Phone [2 GB RAM, 16 GB ROM - White]",19000.0
UMIDIGI,"'G' 4G Smart Mobile Phone (2GB RAM, 16GB ROM - Black)",14155.0
UMIDIGI,"'G' 4G Smart Mobile Phone (2GB RAM, 16GB ROM - Gold)",14155.0
Leagoo,Leagoo Z1,5700.0
Samsung,"J2 Pro Smart Mobile Phone [2GB RAM, 16GB ROM - Black]",13290.0
Nokia,"Microsoft Lumia 532 Double Sim (8 GB, Orange)",5200.0
Samsung,"Samsung J7 Prime (32GB, Gold) - [ G610F / smartphone / smart phone / mobile / mobiles ]",23705.0
Huawei,"Huawei Y7 Prime (Gold, 3GB RAM, 32GB) - [ smartphone / smart phone / mobile / mobiles ]",24153.0
Intex,"Aqua Star II (16 GB, 2 GB RAM,Silver)",7500.0
Huawei,"Huawei Y5 2017 (Grey, 2GB RAM, 16GB) - [ smartphone / smart phone / mobile / mobiles ]",15130.0
Micromax,Micromax Bolt Q346 (Black  8GB) - [ smartphone / smart phone / mobile / mobiles ],6061.0
Lenovo,Lenovo Vibe K5 (16GB) - [ smartphone / smart phone / mobile / mobiles ],15199.0
Lenovo,Lenovo K5 Note (32 GB) - [ smartphone / smart phone / mobile / mobiles ],24699.0
Lenovo,Lenovo K5 Note (32 GB) - [ smartphone / smart phone / mobile / mobiles ],24699.0
Lenovo,Lenovo Vibe K5 (16GB) - [ smartphone / smart phone / mobile / mobiles ],15199.0
Lenovo,"Lenovo K3 Note (White, 16GB) - [ smartphone / smart phone / mobile / mobiles ]",15199.0
Micromax,"Micromax Q381 (Bolt Series) [1GB RAM, 16GB ROM]",7420.0
Zopo,Speed X Mobile Phone (RAM:3GB Internal storage:32GB)-Gold,20990.0
Zopo,Speed X Mobile Phone- (RAM 3GB / Internal storage 32GB)Rose Gold,20990.0
Zopo,Speed X Mobile Phone (3 GB RAM / 32 GB Internal) Silver,20990.0
Zopo,"Speed X Mobile Phone-(RAM 3GB ,Internal storage 32GB) Black",18000.0
Xiaomi,"Xiaomi Redmi 4X (3GB RAM, 32 GB - Black)",20640.0
Samsung,"J7 Nxt (J701F) Smart Mobile Phone [2GB RAM, 16GB]",18510.0
Samsung,"J1 2016 (J12G) Smart Mobile Phone [1GB RAM, 8GB]",10595.0
Leagoo,Leagoo M5,11999.0
Nokia,Nokia 309 Black Mobile Phone,4525.0
Motorola,"Moto E4 Smart Mobile Phone [2GB RAM, 16GB ROM - Blush Gold]",15475.0
Motorola,"Moto E4 Plus Smart Mobile Phone [3GB RAM, 32GB ROM - Blush Gold]",19940.0
Motorola,"Moto C Plus Smart Mobile Phone [2GB RAM, 16GB ROM - Pearl White]",13290.0
Motorola,"Moto C Plus Smart Mobile Phone [2GB RAM, 16GB ROM - Starry Black]",13290.0
Zopo,"X5.5 Smartphone (3 GB RAM, 16 GB Internal )- Gold",14000.0
Zopo,"X5.5 Smartphone (3GB RAM, 16GB Internal) - Black",14000.0
Zopo,Flash X Plus- Black,22500.0
Zopo,Flash X Plus- White,22500.0
Zopo,Flash X Plus-  Rose Gold,22500.0
Zopo,Color C3- Rose Gold,12990.0
Zopo,"Color F2 - (2 GB RAM, 16 GB Internal, 4G)-White",13990.0
Zopo,"Color F2 - (2GB RAM, 64 GB Internal,4G)- Black",13990.0
Zopo,"Color F2 (RAM 2 GB, Internal storage 16 GB, 4G)- Rose Gold",13990.0
Samsung,SAMSUNG J2,11599.0
Motorola,"Moto C Plus Smart Mobile Phone [2GB RAM, 16GB ROM - Fine Gold]",13290.0
Nokia,Microsoft Lumia 532 Double Sim (White),5200.0
Zopo,"Color F1 Mobile Phone (RAM 1GB , Internal storage 16GB)-White",12100.0
Zopo,Color F1 Mobile Phone-Black,12100.0
HTC,"Desire U Play Smart Mobile Phone [4GB RAM, 64GB ROM]",40000.0
Apple,"iPhone 7 (256 GB ROM, 2 GB RAM) - Rose Gold",90000.0
Other,Diamond Power Boost Mobile Phone With 6800mAh Power Bank - Black,2999.0
Apple,"iPhone 7 (256 GB ROM, 2 GB RAM) - Silver",90000.0
Apple,"iPhone 7 (256 GB ROM, 2 GB RAM) - Gold",90000.0
Xiaomi,"Xiaomi Redmi Note 4 Smart Mobile Phone [3GB RAM, 32GB ROM - Grey]",24000.0
Huawei,"Huawei Y3 2017 (Grey, 1GB RAM, 8GB) - [ smartphone / smart phone / mobile / mobiles ]",10573.0
Huawei,"Huawei Y3 2017 (Gold, 1GB RAM, 8GB) - [ smartphone / smart phone / mobile / mobiles ]",10573.0
Leagoo,"Leagoo T1 4G (16GB, Gold) - [ smartphone / smart phone / mobile / mobiles ]",16149.0
Sony,"Xperia XA Ultra Android Smart Mobile Phone[16 GB ROM, 3 GB RAM- Black]",28000.0
Micromax,Canvas ULTRA M1 3GB RAM Smartphone - Mobile,21754.0
ZTE,"Blade L5 Plus Smart Mobile Phone (1GB, 8GB - Black)",9900.0
ZTE,"Blade S6 Smart Mobile Phone (2GB RAM, 16GB ROM - White)",14055.0
Huawei,"Huawei Y7 Prime (Black, 3GB RAM, 32GB) - [ smartphone / smart phone / mobile / mobiles ]",24153.0
Huawei,"Huawei Y6II 2017 (Gold, 2GB RAM, 16GB) - [ smartphone / smart phone / mobile / mobiles ]",17459.0
Huawei,"Huawei Y5 2017 (Gold, 2GB RAM, 16GB) - [ smartphone / smart phone / mobile / mobiles ]",15130.0
Leagoo,Leagoo M5 Plus 4G (Titanium Grey) - [ smartphone / smart phone / mobile / mobiles ],15325.0
Samsung,Samsung Duos Mobile Phone,3400.0
Micromax,Micromax Q326 (Bolt Series),5434.0
Micromax,Micromax Q301 (Bolt Series),4807.0
Micromax,Micromax Canvas Evok Note E453 3Gb/32GB [ Smartphone / Smartphone / Mobile / Mobiles],19855.0
Xiaomi,"Mi 4 Smart Mobile Phone (3GB, 16GB - White)",17280.0
Leagoo,Leagoo Z1 Gold [ smartphone / smart phone / mobile / mobiles ],4845.0
Micromax,Canvas 5 E481 Android Smart Mobile Phone,19380.0
Micromax,Canvas 6 E485-32GB Android Smart Mobile Phone (Gold),22470.0
Lenovo,Lenovo Smart Mobile Phone (A328),7745.0
Lenovo,Lenovo Smart Mobile Phone (A536 ),10120.0
Leagoo,"Leagoo M8 3G (16GB, Champagne Gold) - [ smartphone / smart phone / mobile / mobiles ]",13230.0
Oppo,"A37F (2GB RAM, 16GB, Gold) Android Smart Mobile Phone",15990.0
Xiaomi,"Redmi 4A (16GB,Gold) - [ smartphone / smart phone / mobile / mobiles ]",15360.0
Samsung,"J2 Pro Smart Mobile Phone [2GB RAM, 16GB ROM - Gold]",13290.0
Samsung,"J7 Max Android Smart Mobile Phone [4 GB RAM, 32 GB ROM - Black]",26310.0
Nokia,Nokia 3-White,15650.0
Zopo,"Color F5 (White, 2GB RAM + 16GB ROM) 4G",14990.0
Zopo,"Color F2 -(2 GB RAM, 16 GB, 4 G)- Gold",13990.0
Lenovo,Lenovo Smart Mobile Phone (RocStar A319),6750.0
Oppo,"A57F (32GB, Gold) Android Smart Mobile Phone",25270.0
Micromax,Micromax Q381 (Bolt Series),6897.0
Micromax,Micromax Q4310 Android Smart Mobile Phone,14535.0
Micromax,Micromax Q397 Android Smart Mobile Phone,9666.0
Lava,Lava Iris X9 (16GB) -Black [ smartphone / smart phone / mobile / mobiles ],15990.0
Oppo,"F3 Plus (64 GB, Gold) Android Smart Mobile Phone",54900.0
Lenovo,"Lenovo K3 Note (Black, 16GB) - [ smartphone / smart phone / mobile / mobiles ]",15199.0
Leagoo,Leagoo Z1 White [ smartphone / smart phone / mobile / mobiles ],4845.0
Gsmart,Elite Android Smart Mobile Phone with Free Back Cover,14600.0
Gsmart,Classic LTE Android Smart Phone with Free Back Cover,13000.0
Gsmart,Classic Pro (8GB) Android Smart Mobile Phone with Free Smart Cover,12300.0
Gsmart,Gigabyte Gsmart Classic (Black) Android Smart Mobile Phone,9300.0
Leagoo,Leagoo Z1 Black [ smartphone / smart phone / mobile / mobiles ],4845.0
Samsung,Samsung Galaxy J2 Ace Android Smart Mobile Phone-Black,12080.0
Samsung,Samsung Galaxy S8+ Blue Android Smart Mobile Phone,84675.0
Lenovo,Lenovo k4 Note,25999.0
Micromax,"Micromax Q3001 Android Smart Mobile Phone [512MB RAM, 4GB ROM]",4807.0
Samsung,Galaxy J1 Next Prime Smart Mobile Phone [] ,7770.0
Samsung,"Galaxy J1 Ace Smart Mobile Phone [512MB RAM, 4GB ROM]",8735.0
Samsung,"Galaxy J5 Prime Smart Mobile Phone [2GB RAM, 16GB ROM - Black]",20920.0
Leagoo,"Leagoo M5 Plus 4G (16GB, Galaxy White) - [ smartphone / smart phone / mobile / mobiles ]",15325.0
Leagoo,"Leagoo M5 Plus  4G (16GB, Champagne Gold) - [ smartphone / smart phone / mobile / mobiles ]",15325.0
Xiaomi,"MI Max 2 Smart Mobile Phone [4GB RAM, 64GB ROM - Black]",33599.0
ZTE,Blade A2 Plus 32 GB (Gold),23183.0
Lenovo,Lenovo Vibe K5 (16GB) - [ smartphone / smart phone / mobile / mobiles ],15199.0
Lenovo,Lenovo K5 Note (32 GB) - [ smartphone / smart phone / mobile / mobiles ],24699.0
HTC,"Desire 825 Android Smart Mobile Phone (16 GB ROM, 2 GB RAM)- White",16000.0
Huawei,"Huawei Y3II (White, 8GB) - [ smartphone / smart phone / mobile / mobiles ]",8730.0
Micromax,Micromax E451 Canvas Pulse 4G (16GB  Black),13000.0
Micromax,Micromax Unbreakable Canvas 2 (16GB  Black) Android Mobile Phone,14535.0
ZTE,"Axon elite Smart Mobile Phone - [32GB, 3 GB, Dual Back Camera - Ion Gold]",32883.0
ZTE,"Blade D3 Smart Mobile Phone - [8GB, 1GB - Yellow]",12125.0
ZTE,"Axon Mini Smart Mobile Phone - [32GB, 3GB - Rose Gold]",25123.0
ZTE,"ZTE Blade V7 lite Smart Mobile Phone [16GB, 2GB - Silver]",16868.0
ZTE,"ZTE Blade D3 Smart Mobile Phone - [8GB, 1GB - Silver]",12125.0
ZTE,"Blade S6 Smart Mobile Phone - [16GB, 2GB - Silver]",14055.0
ZTE,"Blade D2 Smart Mobile Phone [8GB, 1GB - Silver]",10660.0
ZTE,"Blade L5 Plus Smart Mobile Phone [8GB, 1GB - White]",9603.0
Apple,"iPhone 7 plus (32 GB ROM, 3 GB RAM) - Rose Gold",85000.0
Apple,"iPhone 7 plus (32GB ROM, 3 GB RAM) -  Gold",85000.0
Apple,"iPhone 6s (32GB ROM, 2 GB RAM)-  Silver",60000.0
Apple,"iPhone 6 (128 GB, 1 GB RAM) - Gold",55000.0
Micromax,Micromax Q3301 Android Smart Mobile Phone,5434.0
ZTE,Blade S7 (32GB) - Lemon Green,20000.0
ZTE,"Blade S7 (32GB,Diamond White)",20000.0
OBI,"MOILBE SF1 (2GB /16GB,Black) - [ smartphone / smart phone / mobile / mobiles ]",19499.0
OBI,"SF1 (32GB, Black) -[ smartphone / smart phone / mobile / mobiles ]",23699.0
Apple,"iPhone 7 (32 GB ROM, 2 GB RAM) - Gold",70000.0
Other,Otto Chekr Feature Mobile Phone,3496.0
OBI,"MOBILE MV1 (2GB/16GB, Black) Get Free Obi Bag - [ smartphone / smart phone / mobile / mobiles ]",15699.0
Oppo,"F1S (64GB, Gold) Android Smart Mobile Phone",31990.0
Other,Blackview BV6000 Green (16GB) - [ smartphone / smart phone / mobile / mobiles ],19995.0
Other,Blackview BV6000 Black (16GB) - [ smartphone / smart phone / mobile / mobiles ],19995.0
Other,Blackview BV5000 (16GB) Camouflage Green - [ smartphone / smart phone / mobile / mobiles ],14995.0
Other,Blackview BV5000 (16GB) Black - [ smartphone / smart phone / mobile / mobiles ],14995.0
Other,Blackview A5 (8GB)Black  - [ smartphone / smart phone / mobile / mobiles ],6995.0
Other,Blackview A5 (8GB)White - [ smartphone / smart phone / mobile / mobiles ],6995.0
Other,Blackview BV6000 Orange (16GB) - [ smartphone / smart phone / mobile / mobiles ],19995.0
Other,Blackview BV5000 (16GB) Orange - [ smartphone / smart phone / mobile / mobiles ],14995.0
Blackview,"Blackview A8 (8GB,Grey) - [ smartphone / smart phone / mobile / mobiles ]",8495.0
Other,"Blackview A5 (8GB,Blue)  - [ smartphone / smart phone / mobile / mobiles ]",6995.0
Lenovo,"Lenovo Vibe K4 Note Android (16GB, Black)",19949.0
Lenovo,"Lenovo Vibe K4 Note Android (16GB, White)",19949.0
Apple,"iPhone 7 [2GB RAM, 128GB ROM] - Black",95500.0
Xiaomi,MI 6 Android Smart Mobile Phone,52799.0
Xiaomi,"MI Note 2 Smart Mobile Phone [6GB RAM, 128GB ROM - Silver]",73920.0
Xiaomi,"Xiaomi Mi 5 (3GB RAM, 32GB ROM - White) - [ smartphone / smart phone / mobile / mobiles ]",38400.0
OnePlus,3T (64GB) Soft Gold - [ smartphone / smart phone / mobile / mobiles ],49000.0
Coolpad,"Coolpad Mega 3 (Trio SIM, 2GB RAM 16 GB, White) Android Smartphone",14526.0
Coolpad,"Cool 1 Smartphone - Gold (4GB RAM, 64 GB - Gold)",30996.0
Samsung,J7 2016 J710F Rose Gold - [Smartphone / smart phone / mobile / mobiles],20890.0
Samsung,Samsung J7 2016 J710F White - [Smartphone / smart phone / mobile / mobiles],20890.0
Huawei,"Huawei P10 Plus (64GB, Graphite Black) Android Smart Mobile Phone",76630.0
Huawei,"Huawei GR5 2017 (64 GB, Gold) Android Mobile Phone",34825.0
Huawei,"Huawei Y5II Smart Mobile Phone [1GB RAM, 8GB ROM - White]",11640.0
Microsoft,Microsoft Lumia 530 Double Sim (Orange),4999.0
Samsung,"Samsung J7 2016 J710F (16GB,White) - [Smartphone / smart phone / mobile / mobiles]",20450.0
Samsung,"Samsung J7 2016 J710F (16GB, Black) - [Smartphone / smart phone / mobile / mobiles]",20450.0
Samsung,Samsung Galaxy S7 Edge (Gold) (32GB) - [ smartphone / smart phone / mobile / mobiles ],68900.0
Samsung,J7 Prime (3 GB RAM/ Internal 16 GB)- Gold,25490.0
Samsung,Galaxy J1 2016 (1GB RAM  8GB internal Memory),10821.0
Lenovo,Lenovo k6Note,25000.0
Samsung,"J2 (8 GB ROM, 1 GB RAM)- White ",10650.0
Zopo,Flash X Plus- Gold,22500.0
Zopo,Color C3- Gold,12990.0
Other,Blackview E7s (16GB) - [ smartphone / smart phone / mobile / mobiles ],11995.0
Samsung,Samsung J1 Nxt Prime,8000.0
Samsung,"Galaxy J2 2016 (Black, 8GB) - [ smartphone / smart phone / mobile / mobiles ]",13290.0
Samsung,Samsung Galaxy On 7 PRO,14800.0
Nokia,Nokia Lumia 630 Black Windows Mobile Phone,8510.0
Apple,"iPhone 7 Plus (128 GB ROM, 3 GB RAM)- Red",119000.0
Nokia,Nokia Lumia 620 Windows Mobile Phone,13001.0
Samsung,"Galaxy J7 2015 (White, 16 GB) - [ smartphone / smart phone / mobile / mobiles ]",21900.0
